Login Date,IP Address,User Agent,Login Type
Thu May 16 16:17:22 UTC 2024,24.214.179.26,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.29.6896 iPhone:17.4.1,Login
Wed Jul 31 14:23:27 UTC 2024,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Wed Jul 31 14:51:13 UTC 2024,75.76.242.20,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.29.9611 iPhone:17.5.1,Login
Thu Aug 15 01:08:06 UTC 2024,75.76.242.20,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.659 iPhone:17.5.1,Login
Fri Sep 27 22:01:01 UTC 2024,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Login
Mon Oct 28 20:29:32 UTC 2024,75.76.242.20,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.3760 iPhone:18.0.1,Login
Mon Jan 06 19:13:26 UTC 2025,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Thu Jul 10 10:09:19 UTC 2025,24.142.147.68,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.3056 iPhone:18.5,Login
Wed Aug 20 17:40:02 UTC 2025,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Mon Aug 25 14:51:01 UTC 2025,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Mon Aug 25 21:14:52 UTC 2025,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Wed Aug 27 15:33:14 UTC 2025,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Tue Sep 02 17:53:34 UTC 2025,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Wed Sep 03 15:53:11 UTC 2025,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Thu Sep 04 20:32:31 UTC 2025,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Thu Sep 04 20:32:53 UTC 2025,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Wed Oct 08 10:22:54 UTC 2025,75.76.242.20,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Brave/1 Mobile/15E148 Safari/604.1",Login
Tue Oct 21 23:46:28 UTC 2025,75.76.242.20,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Brave/1 Mobile/15E148 Safari/604.1",Login
Fri Nov 07 20:56:08 UTC 2025,2607:fb91:16d2:20e:48be:8bad:aacb:32f,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.6397 iPhone:18.6.2,Login
Fri Jan 30 18:54:58 UTC 2026,75.76.242.20,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.7998 iPhone:26.2,Login
