Date,Type,Link
2026-03-03 17:00:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7433352101952536576
2026-03-03 16:03:13,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7434590584461488128
2026-02-28 23:54:32,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7433393563918389248?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7433393563918389248%2C7433536745826074624%29
2026-02-28 16:03:04,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7433435116309458944
2026-02-27 11:35:05,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7432701277962305536?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7432701277962305536%2C7433063523288526848%29
2026-02-27 11:34:42,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7432701277962305536?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7432701277962305536%2C7433060564890734592%29
2026-02-26 20:53:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7432684465644167168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7432684465644167168%2C7432842172477079552%29
2026-02-26 17:27:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7432831118451785728?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7432831118451785728%2C7432838163901026304%29
2026-02-26 17:19:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7432831118451785728?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7432831118451785728%2C7432834214544343041%29
2026-02-25 11:38:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7432332133832081408
2026-02-24 20:04:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7432129191774498816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7432129191774498816%2C7432146234934726657%29
2026-02-24 16:02:35,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7432082964903071744
2026-02-23 22:51:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7431817371570323456
2026-02-23 18:28:18,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7431539302477570048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7431539302477570048%2C7431764608735989760%29
2026-02-23 16:05:17,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7431539302477570048
2026-02-23 01:12:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7431309921339699200?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7431309921339699200%2C7431340574613393408%29
2026-02-21 21:18:26,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7430720229741109248
2026-02-20 21:33:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7430717275587928064?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7430717275587928064%2C7430723803242070016%29
